SalePrice,num_rooms,n_baths,square_meters,neighborhood
180000,2,1.0,48.0,Sants
230000,2,1.0,57.0,Sants
195000,1,1.0,45.0,Sants
279000,2,2.0,73.0,Sants
375000,4,1.0,92.0,Sants
420000,4,2.0,111.0,Sants
205000,1,1.0,42.0,Sants
291000,2,2.0,71.0,Sants
478810,2,2.0,92.0,Sants
270000,3,2.0,86.0,Sants
420000,4,2.0,111.0,Sants
168000,1,1.0,80.0,Sants
420000,4,2.0,111.0,Sants
180000,2,1.0,48.0,Sants
180000,2,1.0,48.0,Sants
420000,3,2.0,112.0,Sants
395000,2,1.0,60.0,Sants
330000,3,2.0,81.0,Sants
289000,4,2.0,85.0,Sants
232100,2,1.0,52.0,Sants
370000,3,2.0,77.0,Sants
270000,3,1.0,68.0,Sants
285000,2,1.0,75.0,Sants
197500,2,1.0,71.0,Sants
180000,2,1.0,48.0,Sants
166500,2,1.0,54.0,Sants
199000,1,,,Sants
255000,3,1.0,70.0,Sants
271500,3,1.0,72.0,Sants
289000,4,1.0,85.0,Sants
285000,3,1.0,61.0,Sants
201000,2,1.0,80.0,Sants
180000,2,1.0,48.0,Sants
302700,3,1.0,76.0,Sants
985000,3,4.0,400.0,Sants
192500,3,1.0,66.0,Sants
795000,5,3.0,175.0,Sants
165000,2,1.0,50.0,Sants
54900,1,1.0,32.0,Sants
279000,2,2.0,73.0,Sants
289500,2,1.0,61.0,Sants
420000,4,2.0,110.0,Sants
420000,4,2.0,111.0,Sants
345000,4,1.0,84.0,Sants
320000,4,1.0,83.0,Sants
157000,1,1.0,38.0,Sants
395000,2,1.0,81.0,Sants
296000,3,1.0,85.0,Sants
265000,4,1.0,76.0,Sants
225000,2,1.0,55.0,Sants
290000,2,1.0,60.0,Sants
265000,3,1.0,76.0,Sants
155400,1,1.0,46.0,Sants
249000,3,2.0,70.0,Sants
201000,2,1.0,80.0,Sants
281000,2,2.0,97.0,Sants
345000,2,1.0,95.0,Sants
279000,2,2.0,73.0,Sants
255000,3,1.0,70.0,Sants
279000,2,2.0,73.0,Sants
265000,4,1.0,76.0,Sants
140000,3,1.0,45.0,Sants
168000,1,1.0,80.0,Sants
219900,2,1.0,103.0,Sants
250000,1,1.0,64.0,Sants
239500,2,2.0,67.0,Sants
170000,1,2.0,60.0,Sants
980000,4,3.0,292.0,Sants
365000,3,2.0,90.0,Sants
388000,3,2.0,72.0,Sants
495000,5,3.0,137.0,Sants
445000,3,2.0,92.0,Sants
296000,3,1.0,85.0,Sants
289000,4,1.0,85.0,Sants
279000,2,2.0,73.0,Sants
225000,3,1.0,69.0,Sants
275000,3,1.0,75.0,Sants
750000,4,3.0,287.0,Sants
205000,2,1.0,50.0,Sants
420000,4,2.0,111.0,Sants
155400,1,1.0,46.0,Sants
409000,3,2.0,147.0,Sants
239000,3,1.0,73.0,Sants
190000,3,1.0,54.0,Sants
179999,3,1.0,85.0,Sants
295000,3,2.0,80.0,Sants
359000,5,4.0,235.0,Sants
275000,2,1.0,84.0,Sants
229000,2,1.0,60.0,Sants
279000,2,1.0,84.0,Sants
365000,3,1.0,93.0,Sants
160000,2,1.0,56.0,Sants
160000,2,1.0,56.0,Sants
250000,3,1.0,77.0,Sants
302700,3,1.0,76.0,Sants
320000,3,1.0,70.0,Sants
325000,2,1.0,60.0,Sants
445000,3,2.0,83.0,Sants
269000,3,1.0,71.0,Sants
350000,3,1.0,280.0,Sants
359000,5,4.0,235.0,Sants
287000,4,1.0,73.0,Sants
290000,4,1.0,65.0,Sants
795000,4,4.0,225.0,Sants
330000,4,2.0,105.0,Sants
281000,2,2.0,97.0,Sants
249000,3,1.0,80.0,Sants
192500,3,1.0,66.0,Sants
230000,3,1.0,61.0,Sants
360000,2,2.0,80.0,Sants
330000,4,2.0,102.0,Sants
201000,3,1.0,80.0,Sants
215000,1,1.0,40.0,Sants
350000,2,2.0,105.0,Sants
245000,3,1.0,70.0,Sants
290000,2,2.0,84.0,Sants
350000,2,2.0,104.0,Sants
192500,3,1.0,66.0,Sants
650000,4,3.0,150.0,Sants
395000,3,2.0,78.0,Sants
237600,3,1.0,80.0,Sants
249900,3,2.0,82.0,Sants
350000,2,1.0,90.0,Sants
197000,3,2.0,104.0,Sants
139000,2,2.0,73.0,Sants
349000,1,,,Sants
369000,3,2.0,107.0,Sants
245000,3,1.0,70.0,Sants
A consult,3,2.0,,Sants
270000,3,1.0,86.0,Sants
289000,4,1.0,85.0,Sants
290000,1,1.0,63.0,Sants
